Team Name,Games,Goal Difference,xG Difference w/Pen,NP Goal Difference,NP xG Difference,Goals,NP xG,xG/Shot,OP xG,Own Goals,Penalty Goals,Shots,Shot Distance,Clear Shots,Counter-attack Shots,High Press Shots,Shots Outside Box,Penalties,OP Shots,SP Goals,SP xG,SP Shots,Goals/SP,xG/SP,Shots/SP,SP,Corner Goals,Corner xG,Corner Shots,Goals/Corner,xG/Corner,Shots/Corner,Corners,DFK Goals,DFK xG,DFK Shots,Goals/DFK,xG/DFK,Shots/DFK,DFK,IFK Goals,IFK xG,IFK  Shots,Goals/IFK,xG/IFK,Shots/IFK,IFK,Throw-in Goals,Throw-in xG,Throw-in Shots,Goals/Throw-in,xG/Throw-in,Shots/Throw-in,Throw-ins,Passing%,Passes Inside Box,Deep Completions,Box Cross%,GK Long Pass%,GK Pass Length,Box Crosses,Successful Box Crosses,Successful Box Cross%,Passes,Successful Passes,OP Passes,Pace To Goal,Directness,Dribbles,Dribble%,Successful Dribbles,Failed Dribbles,Deep Progressions,PPDA,Defensive Distance,Aggression,Aggressive Actions,Defensive Regains,Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Possession%,Possessions,Ball In Play Time,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Barcelona,38,1.66,1.06,1.5,0.97,2.68,1.93,0.11,1.57,0,0.18,17.63,16.08,3.63,1.13,4.08,4.34,0.21,13.58,0.37,0.35,4.05,0.01,0.01,0.09,42.79,0.24,0.25,2.74,0.03,0.04,0.39,6.97,0.03,0.03,0.68,0.04,0.05,1,0.68,0.11,0.07,0.61,0.01,0,0.04,16.39,0,0,0.03,0,0,0,18.74,87,5.05,6.47,27,56,27.13,9.13,2.55,18,680.61,594.53,631.39,2.21,0.88,22.16,56,12.45,9.71,68.21,6.59,51.27,0.25,77.68,48.79,141,31.92,36.37,5.05,85.45,61,28.42,78,68,166.87,54.61,0.95,1.21,0.27,0.31,-0.11,2.62
Real Madrid,38,1.05,0.9,0.89,0.67,2.05,1.62,0.1,1.37,0.03,0.26,16.37,16.93,3.05,1.32,3.55,4.58,0.37,12.87,0.29,0.24,3.47,0.01,0.01,0.09,37.42,0.18,0.17,2.42,0.03,0.03,0.38,6.42,0,0.02,0.32,0,0.06,1.09,0.29,0.11,0.05,0.71,0.01,0,0.05,14.47,0,0,0.03,0,0,0,16.24,89,4.47,6.58,23,47,31.31,6.21,1.42,12,639.03,566.21,592.63,2.35,0.87,20.11,53,10.58,9.53,64.61,10.42,45.46,0.21,87.29,53.21,141.34,31.26,27.08,3.61,67.42,48,20,74,60,161.82,58.33,0.68,1.31,0.28,-0.03,-0.11,2.13
Atlético Madrid,38,1,0.61,1.03,0.57,1.79,1.36,0.11,1.13,0.05,0.16,12.29,16.03,2.89,1.08,2.68,3.05,0.18,9.58,0.18,0.23,2.71,0,0.01,0.07,38.24,0.13,0.17,1.79,0.03,0.03,0.36,5,0.05,0.02,0.34,0.15,0.05,1,0.34,0,0.03,0.39,0,0,0.03,12.21,0,0.02,0.18,0,0,0.01,20.68,84,2.76,4.13,31,53,34.04,9.03,2.68,23,567.47,475.89,519.39,2.57,0.86,13.5,51,6.92,6.58,48.13,12.88,43.52,0.2,105.24,55.42,171.68,34.24,34.66,4.18,74.24,43,23.26,67,53,168.79,57.86,0.76,0.85,0.25,0.16,0.03,2.06
Athletic Club,38,0.66,0.33,0.66,0.31,1.42,1.13,0.09,0.88,0.03,0.08,12.21,16.3,2.21,1.11,3.32,3.29,0.16,9.45,0.37,0.25,2.76,0.01,0.01,0.07,39.74,0.29,0.19,1.89,0.06,0.04,0.37,5.08,0,0.01,0.16,0,0.05,1,0.16,0.08,0.04,0.61,0.01,0,0.05,12.5,0,0.01,0.11,0,0,0,22,79,2.05,2.82,30,41,42.6,8.58,2.32,25,463.11,366.37,415.87,2.72,0.87,16.92,49,8.21,8.71,44.21,10.82,47.14,0.22,112.26,53.84,181.97,34.34,35.97,4.45,99.45,55,27.34,76,48,177.13,54.17,0.74,0.81,0.21,-0.04,0,1.72
Villarreal,38,0.53,0.46,0.55,0.48,1.87,1.46,0.1,1.13,0.03,0.13,14.03,14.98,2.74,1.55,3.29,3.26,0.18,10.82,0.24,0.33,3.21,0.01,0.01,0.09,35.26,0.16,0.19,1.89,0.03,0.04,0.39,4.82,0,0.01,0.26,0,0.04,1.11,0.24,0.05,0.12,0.97,0,0.01,0.07,13.55,0.03,0.01,0.08,0,0,0,16.66,82,3,4.47,31,46,34.62,8.61,2.97,25,471.32,387.71,426.29,2.73,0.88,13.16,52,6.79,6.37,43.5,11.93,43.52,0.19,101.84,55.89,161.71,32.26,28.5,3.34,70.79,44,19.21,67,48,167.37,55.63,1.05,0.79,0.32,0.06,-0.06,2.17
Real Betis,38,0.18,0.13,0.08,0,1.5,1.16,0.08,0.91,0.03,0.18,13.74,16.77,2.66,1.32,3.39,3.84,0.26,10.61,0.29,0.25,3.13,0.01,0.01,0.07,42.16,0.21,0.16,2.05,0.04,0.03,0.4,5.18,0.03,0.02,0.37,0.07,0.05,1,0.37,0.05,0.07,0.71,0,0,0.04,16.11,0,0,0,0,0,0,20.5,82,2.66,3.89,29,43,35.17,7.26,2.21,21,510.97,421.13,460.87,2.43,0.86,16.89,48,8.11,8.79,44.26,9.71,45.62,0.22,101.29,56.47,169.79,33.42,33.13,3.68,79.24,47,22.87,69,52,175.82,54.38,0.62,1.01,0.49,0.01,0,2.14
Celta Vigo,38,0.05,0.26,-0.05,0.16,1.55,1.13,0.1,0.97,0.05,0.21,11.68,17.03,2.18,0.79,2.87,3,0.24,8.97,0.13,0.15,2.71,0,0,0.07,38.18,0.08,0.12,1.87,0.02,0.03,0.48,3.92,0.03,0.02,0.55,0.05,0.04,1.11,0.5,0.03,0.02,0.24,0,0,0.02,13.16,0,0,0.05,0,0,0,20.61,84,2.53,3.95,26,46,30.85,6.29,1.61,17,560.79,472.84,513.26,2.4,0.87,13.26,49,6.53,6.74,48.18,10.68,46.49,0.2,99.61,50.21,173,31.66,35.76,4,86.47,50,23.82,67,54,171.63,57.41,0.62,0.82,0.19,0.13,-0.17,1.59
Rayo Vallecano,38,-0.11,-0.14,0,0.01,1.08,1.05,0.08,0.84,0.03,0,13.61,18.29,2.08,1.08,3.03,4.55,0.03,10,0.18,0.21,3.61,0,0.01,0.09,40.37,0.16,0.18,2.5,0.03,0.03,0.47,5.32,0.03,0.01,0.68,0.04,0.02,1,0.68,0,0.02,0.34,0,0,0.03,11.5,0,0,0.08,0,0,0,22.87,79,1.79,2.89,34,39,45.53,9.71,2.95,31,473.39,373.5,423.21,2.61,0.84,13.53,53,7.16,6.37,41.89,8.3,45.57,0.25,109.13,57.37,184.55,35.82,36.87,4.21,89.05,48,26.32,71,52,181.47,51,0.81,0.64,0.31,-0.24,0.09,1.61
Osasuna,38,-0.11,-0.16,-0.18,-0.2,1.26,0.94,0.09,0.67,0.03,0.24,10.79,15.38,1.42,0.84,2.45,2.37,0.24,7.39,0.26,0.27,3.39,0.01,0.01,0.09,39.55,0.13,0.16,2.11,0.03,0.04,0.46,4.61,0.05,0.01,0.24,0.22,0.05,1,0.24,0.05,0.05,0.71,0,0,0.06,12.84,0.03,0.04,0.34,0,0,0.02,21.87,76,2.11,3.37,40,51,45.04,11.66,3.74,35,425.37,325.29,375.63,2.89,0.88,13.29,50,6.63,6.66,37.13,11.16,44.98,0.19,97.13,53.05,169.68,31.87,30.92,3.84,75,44,22.82,74,46,172.26,52.63,0.91,0.6,0.38,-0.11,0.13,1.91
Getafe,38,-0.13,-0.12,-0.05,-0.04,0.89,0.82,0.07,0.61,0,0.13,11.32,18.06,1.32,0.63,2.37,3.34,0.13,8,0.21,0.21,3.32,0,0,0.08,44.13,0.11,0.09,1.34,0.03,0.02,0.35,3.87,0.03,0.02,0.5,0.06,0.04,1.19,0.42,0.03,0.06,1.05,0,0,0.07,15.5,0.05,0.04,0.42,0,0,0.02,24.34,68,1.63,2.39,33,41,57.25,9.92,3.18,35,343.58,235.21,289.76,2.75,0.85,13.76,49,6.68,7.08,34.18,8.87,46.74,0.24,116.84,52.24,190.29,32.47,34.16,4.13,93.97,49,26.95,79,42,177.76,47.97,0.81,0.45,0.25,-0.06,0.05,1.5
